hazard,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,true_positives,true_negatives,false_positives,false_negatives
earthquake,BLZ,Belize,2022/23,12,0,,,,,,,,,,,,
earthquake,BLZ,Belize,2023/24,12,0,,,,,,,,,,,,
earthquake,BLZ,Belize,2024/25,7,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2006/07,5,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2007/08,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2008/09,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2009/10,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2010/11,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2011/12,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2012/13,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2013/14,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2014/15,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2015/16,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2016/17,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2017/18,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2018/19,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2019/20,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2020/21,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2021/22,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2022/23,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2023/24,12,0,,,,,,,,,,,,
earthquake,DOM,Dominican Republic,2024/25,7,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2006/07,5,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2007/08,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2008/09,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2009/10,12,1,3162.2776601683795,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,0.0
earthquake,HTI,Haiti,2010/11,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2011/12,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2012/13,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2013/14,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2014/15,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2015/16,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2016/17,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2017/18,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2018/19,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2019/20,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2020/21,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2021/22,12,1,3981.071705534973,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,0.0
earthquake,HTI,Haiti,2022/23,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2023/24,12,0,,,,,,,,,,,,
earthquake,HTI,Haiti,2024/25,7,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2006/07,5,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2007/08,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2008/09,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2009/10,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2010/11,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2011/12,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2012/13,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2013/14,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2014/15,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2015/16,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2016/17,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2017/18,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2018/19,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2019/20,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2020/21,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2021/22,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2022/23,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2023/24,12,0,,,,,,,,,,,,
earthquake,JAM,Jamaica,2024/25,7,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2006/07,5,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2007/08,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2008/09,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2009/10,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2010/11,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2011/12,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2012/13,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2013/14,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2014/15,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2015/16,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2016/17,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2017/18,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2018/19,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2019/20,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2020/21,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2021/22,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2022/23,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2023/24,12,0,,,,,,,,,,,,
earthquake,TTO,Trinidad and Tobago,2024/25,7,0,,,,,,,,,,,,
